source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Source_Tumor_CSC,Target_PBMC_NK,CCL3,CCR1,0.23728713,0.954,0.041698243,-0.01143279832343016,-0.06974805879308141,0.3498545,0.7071106,1.0,0.7746297656920162
Source_Tumor_CSC,Target_PBMC_NK,LGALS3,ENG,0.61870766,0.0,0.11959882,0.06611369243083293,-0.2148904830572571,0.102577835,0.80348724,1.0,0.7761577785779988
Source_Tumor_CSC,Target_PBMC_NK,SELE,GLG1,0.3474487,0.0,0.12016848,0.4677943138123534,0.993886562698749,0.598474,0.8038621,0.052840293692707256,0.780653069601897
Source_Tumor_CSC,Target_PBMC_NK,CD14,TLR4,0.2356185,1.0,0.052521814,-0.17463814937954605,-0.2899082598569858,0.1829099,0.7304244,1.0,0.783628278907955
Source_Tumor_CSC,Target_PBMC_NK,ALCAM,CD6,0.23532483,0.0,0.05026008,0.09762734970954468,0.542683191204949,0.5849173,0.72606885,0.0906241543917161,0.7858889082666359
Source_Tumor_CSC,Target_PBMC_NK,IL16,CD4,0.23530456,1.0,0.048509378,-0.10585856920903905,0.05844487456503744,0.2350971,0.72252893,1.0,0.7881536610807192
Source_Tumor_CSC,Target_PBMC_NK,ICAM1,ITGAM_ITGB2,0.45257992,0.0,0.19629359,0.12741091202157112,0.6489225712292827,0.50574076,0.839696,0.0683654746283365,0.7904983670808259
Source_Tumor_CSC,Target_PBMC_NK,THBS1,ITGA4,0.4069662,1.0,0.122823775,-0.07934683518388702,0.0960646788687205,0.2607023,0.80557936,1.0,0.7942423537878469
Source_Tumor_CSC,Target_PBMC_NK,CSF1,CSF3R,0.3652625,0.0,0.040204335,0.06508929651103118,-0.041433773591445525,0.39989474,0.7033183,0.8853964138418332,0.7949742384695815
Source_Tumor_CSC,Target_PBMC_NK,CD14,ITGA4,0.45209032,1.0,0.17822196,-0.15232513008871681,0.09126249014035503,0.23409948,0.83308864,1.0,0.7954384462097251
Source_Tumor_CSC,Target_PBMC_NK,S100A8,CD69,0.3880171,1.0,0.1229787,-0.3832106574808933,-2.7239502382887655,0.046099145,0.80567807,1.0,0.7965224542850118
Source_Tumor_CSC,Target_PBMC_NK,CD14,ITGB1,0.45125407,1.0,0.17773636,-0.17489819143746885,-0.24993138562665862,0.16389166,0.8328989,1.0,0.8003873361138824
Source_Tumor_CSC,Target_PBMC_NK,LGALS9,LRP1,0.3594632,1.0,0.12369519,-0.04821529073024275,0.23374316636214104,0.3261167,0.80613244,1.0,0.8033889301389346
Source_Tumor_CSC,Target_PBMC_NK,VEGFA,ITGB1,0.4484335,0.0,0.17428301,0.16818953600193384,0.5172878510938029,0.38732997,0.83152896,0.12653264961428545,0.8053449701081599
Source_Tumor_CSC,Target_PBMC_NK,SELPLG,ITGAM,0.23580754,1.0,0.04013297,-0.2455896741707007,-0.1146950002189483,0.13844231,0.7031329,1.0,0.8064289663066502
Source_Tumor_CSC,Target_PBMC_NK,F13A1,ITGA4,0.4483536,0.1,0.17363442,0.013751916928102289,0.48135495922722726,0.37522447,0.8312677,1.0,0.8078271055576285
Source_Tumor_CSC,Target_PBMC_NK,FN1,SDC2,0.74145734,0.0,0.13151187,0.9509689928239209,1.882806324959715,0.6468341,0.81087583,0.021695764003578803,0.8078271055576285
Source_Tumor_CSC,Target_PBMC_NK,CD22,PTPRC,0.8328204,0.0,0.12439543,0.21654062039209104,0.6126749950528575,0.61081505,0.80657315,0.052840293692707256,0.8126056848163938
Source_Tumor_CSC,Target_PBMC_NK,F13A1,ITGB1,0.44751734,0.79,0.17316133,-0.00882114442064975,0.1401610834602136,0.26269242,0.83107626,1.0,0.8127977307569287
Source_Tumor_CSC,Target_PBMC_NK,SPP1,ITGAV_ITGB1,0.6629077,0.0,0.1265064,0.8382039087385278,1.789469819005963,0.37575385,0.8078824,0.030982153330837883,0.8195641511319325
Source_Tumor_CSC,Target_PBMC_NK,MDK,ITGA6_ITGB1,0.11804331,0.0,0.012462268,0.34475096991258447,-0.0016640800050281845,0.25151378,0.56893694,0.822625493590354,0.8223843085245295
Source_Tumor_CSC,Target_PBMC_NK,BGN,TLR2,0.26707622,0.0,0.039330266,0.2991589594496775,0.16242956322691474,0.6479337,0.70102,0.2896026222272117,0.8226498120241951
Source_Tumor_CSC,Target_PBMC_NK,LRPAP1,LRP1,0.3634458,0.999,0.12715009,-0.034791916220668434,0.2654305748806825,0.34166187,0.808276,1.0,0.8265622287604995
