source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,S100A9,ITGB2,0.25878254,1.0,0.054793663,-0.4016149645851138,-0.6715620272551005,0.019920716,0.74475414,1.0,0.5879391306428803
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,COL4A2,ITGA9_ITGB1,0.2587788,1.0,0.066267796,0.17080047054287706,0.12302042722222839,0.085685536,0.7624017,1.0,0.5883667412857205
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,VEGFA,ITGB1,0.2585217,1.0,0.06614831,-0.4663266487220551,-0.4615697465947597,0.014890591,0.7622382,1.0,0.5892222219631271
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD59,STAB1,0.38795382,1.0,0.087413915,-0.19940244708416377,-0.5073134199739977,0.019961668,0.78656906,1.0,0.5948039792705674
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,F13A1,ITGB1,0.25760555,1.0,0.065722585,-0.4938504486054273,-0.5964164698095158,0.016115226,0.7616526,1.0,0.5982561687434864
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,IL1B,ADRB2,0.33566868,0.006,0.08863236,0.39564165274565427,0.08379693571790181,0.09123566,0.78772867,0.3656140246019036,0.6038945602426994
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,COPA,NTRK1,0.2548951,0.0,0.06464288,0.9233706192064228,0.2349582842418627,0.17267777,0.7601458,0.03012177607302785,0.6121990582983146
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD55,ADGRE2,0.5162859,0.0,0.20900099,0.26513750023782934,0.5529603483873707,0.13345958,0.85071373,0.03545109358313355,0.6145085553916322
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,HLA-DQB1,CD4,0.4267199,1.0,0.090555735,-0.47407309176454404,-0.985927150466714,0.017613541,0.78951806,1.0,0.6188084713915173
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,JAM3,ITGAM_ITGB2,0.10816422,1.0,0.010077089,-0.3664316723540078,-0.7788578726300768,0.027453389,0.5558095,1.0,0.6236078765440511
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,VCAN,ITGA4,0.25213355,0.997,0.063555196,-0.05872733765300588,-0.046233490457368465,0.07914237,0.7585954,0.7492281546981999,0.6245752540534915
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CCN1,ITGAM,0.31848022,0.0,0.0916879,0.0963487558132557,0.4610262858383155,0.1256499,0.79054856,0.04787128786994742,0.6276951007931884
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,CD24,SIGLEC10,0.24964792,1.0,0.04835305,-0.07112047754376852,-0.22602241275747853,0.0720619,0.73268825,1.0,0.6389223655286478
Tumor_CSC (TBXT+),NK_Cytotoxic_Cells,ADAM28,ITGA4,0.24947782,1.0,0.062194664,-0.1170092743142453,-0.016723363866235963,0.06085669,0.7566085,1.0,0.6402785728615767
